Date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,PS,TQV,CLOUD_AMT,TOA_SW_DWN,City
1/1/2020,3.38,5.49,1.28,97.91,0.19,1.21,0.499,1.0853,101.97,9.69,78.33,1.8941,London
1/2/2020,7.04,8.95,3.99,96.15,0.3,4.15,0.3574,0.9118,101.08,11.86,90.33,1.909,London
1/3/2020,6.24,9.78,1.74,93.01,2.97,4.16,0.9017,1.1815,101.2,13.85,73.49,1.9253,London
1/4/2020,3.96,7.74,1.97,96.34,0.04,3.09,0.737,1.2187,102.4,11.88,90.44,1.9428,London
1/5/2020,5.33,7.52,3.93,96.6,0.31,2.94,0.5729,1.235,102.36,10.86,74.49,1.9615,London
1/6/2020,6.36,8.16,5.18,91.05,0.55,4.67,0.4706,1.2158,101.25,11.01,74.54,1.9819,London
1/7/2020,8.48,11.23,5.21,95.93,0.88,4.9,0.4368,1.1203,101.2,22.26,95.93,2.0035,London
1/8/2020,9.52,11.14,7.93,95.56,2.35,2.91,0.5388,1.2185,101.15,20.85,97.84,2.0266,London
1/9/2020,10.09,11.61,6.48,93.48,4.79,5.25,0.8998,1.2238,99.75,16.58,77.88,2.0508,London
1/10/2020,4.22,6.95,2.06,93.47,0.61,3.22,1.0051,1.3106,101.3,10.34,64.63,2.0762,London
1/11/2020,7.64,9.31,3.89,88.61,0.09,6.45,0.5422,1.2794,101.44,13.8,98.65,2.1034,London
1/12/2020,8.24,10.07,5.48,91.86,2.34,5.5,0.9504,1.3387,100.87,13.49,47.14,2.1314,London
1/13/2020,7.81,10.61,5.23,93.67,5.23,6.22,0.5858,1.247,99.85,14.56,78.04,2.161,London
1/14/2020,9.35,12.51,5.46,93.33,4.52,7.56,0.3679,1.266,98.74,19.08,88.71,2.1922,London
1/15/2020,7.65,11.27,4.83,91.94,9.55,5.05,0.9276,1.4354,99.79,14.71,66.63,2.2243,London
1/16/2020,7.87,9.88,5.05,93.68,5.49,5.69,0.5942,1.2725,100.54,15.81,96.57,2.2579,London
1/17/2020,6.39,9.27,2.87,94.61,1.53,4.15,0.8371,1.4045,100.36,11.35,66.96,2.2927,London
1/18/2020,2.62,6.67,0.55,92.56,0.05,2.91,1.4614,1.5552,101.85,6.62,32.09,2.329,London
1/19/2020,1.15,6.1,-1.27,94.16,0.04,2.27,1.5566,1.5691,103.41,6.46,21.86,2.3666,London
1/20/2020,0.54,5.66,-1.93,95.39,0.05,1.29,1.2852,1.5468,103.78,11.52,45.14,2.4055,London
1/21/2020,1.95,5.55,-0.41,96.13,0.2,1.07,1.4707,1.541,103.22,10.98,25.32,2.4456,London
1/22/2020,4.54,6.3,2.91,98.78,0.4,1.07,0.5282,1.525,102.76,15.18,89.89,2.4871,London
1/23/2020,5.21,7.54,3.34,95.92,0.33,0.92,0.3914,1.5499,102.18,10.31,86.45,2.5298,London
1/24/2020,4.62,6.71,3.31,97.39,0.59,0.68,0.5102,1.5833,101.37,10.62,70.14,2.5738,London
1/25/2020,4.38,6.28,1.95,97.28,0.4,2.28,0.4946,1.3421,100.9,12.6,77.99,2.6191,London
1/26/2020,7.58,8.57,6.25,95.49,3.7,4.59,0.4891,1.5216,100.02,14.82,86.77,2.6657,London
1/27/2020,6.44,8.58,4.74,95.87,8.53,3.56,0.7289,1.639,99.02,12.94,92.8,2.7137,London
1/28/2020,3.55,5.91,1.63,90.93,2.21,5.45,1.4923,1.8329,98.63,8.63,50.95,2.7626,London
1/29/2020,4.4,8.25,1.4,92.25,0.03,4.69,1.5977,1.7815,99.9,10.67,56.08,2.813,London
1/30/2020,8.44,11.16,5.67,96.55,0.81,4.6,0.6641,1.7587,99.48,15.75,98.54,2.8649,London
1/31/2020,9.61,11.03,7.99,95.1,1.19,5.56,0.5426,1.7078,99.64,18.63,97.98,2.9174,London
2/1/2020,8.59,10.89,5.29,86.98,0.23,5.98,1.5444,1.9963,99.54,10.27,64.93,2.9717,London
2/2/2020,8.99,11.51,5.29,93.58,7.07,5.18,0.9878,1.8977,99.79,16.34,91.56,3.0266,London
2/3/2020,7.65,10.25,3.23,89.76,0.94,4.97,1.1935,2.0136,100.31,12.9,57.48,3.0828,London
2/4/2020,5.03,8.62,2.48,88.46,0.1,5.43,1.2708,2.1113,101.24,9.56,50.02,3.1402,London
2/5/2020,3.41,6.83,1.16,94.09,0.02,1.37,1.655,2.0688,102.67,10.98,70.12,3.199,London
2/6/2020,2.58,8.21,-0.3,93.41,0.1,1.16,2.0683,2.1557,102.19,8.38,7.27,3.2585,London
2/7/2020,4.56,8.45,-0.34,91.49,0.38,3.95,1.7342,2.1727,101,9.66,66.79,3.3194,London
2/8/2020,7.39,9.75,5.12,89.87,1.27,4.24,1.8547,2.3626,100.55,11.21,79.53,3.3811,London
2/9/2020,9.63,12.42,6.92,88.31,10.88,11.18,0.6012,2.0969,98.47,20.87,88.74,3.444,London
2/10/2020,6.05,7.99,3.72,84.27,3.92,8.67,1.2247,2.3676,98.75,9.97,59.51,3.5078,London
2/11/2020,3.82,5.57,2.31,80.98,0.55,7.81,2.1348,2.5406,99.75,7.25,32.76,3.5726,London
2/12/2020,3.93,7.38,1.19,88.56,1.04,4.7,2.195,2.5435,100.4,9.4,56.9,3.6386,London
2/13/2020,6.3,9.19,3.57,91.65,12.43,5.49,1.5494,2.4648,98.92,12.49,80.72,3.7054,London
2/14/2020,6.74,10.43,2.6,92.84,1.25,4.42,1.6692,2.4516,100.7,13.1,97.4,3.7733,London
2/15/2020,10.67,11.55,9.48,92.09,4.43,8.99,0.431,2.46,99.72,23.34,99.66,3.8417,London
2/16/2020,9.4,12.08,5.4,90.22,18.25,8.79,0.7586,2.5711,98.72,20.11,81.57,3.9115,London
2/17/2020,6.48,9.19,3.73,85.26,1.12,6.79,1.7143,2.7245,100.03,9.98,53.62,3.9821,London
2/18/2020,5.76,9.12,3.31,90.06,3.35,6.1,1.6968,2.6702,100.84,11.1,59.28,4.0534,London
2/19/2020,5.01,7.78,1.08,93.24,1.63,4.97,1.1345,2.7586,100.87,13.41,82.31,4.1254,London
2/20/2020,6.86,9.82,2.12,90.09,4.86,6.93,1.0121,2.7888,100.26,12.3,68.94,4.1983,London
2/21/2020,6.4,9.39,2.2,85.31,0.02,6.53,1.2528,2.9268,101.23,12.56,83.89,4.2725,London
2/22/2020,9.15,11.69,7.5,87.64,0.78,7.57,1.6517,2.9618,100.88,19.42,95.2,4.3469,London
2/23/2020,9.25,12.97,4.67,86.07,4.2,6.24,1.8175,2.9765,100.7,21.35,98.2,4.4222,London
2/24/2020,8.31,10.53,4.83,92.24,6.36,6.24,0.8129,2.9892,100.04,17.37,92.24,4.4983,London
2/25/2020,4.55,8.15,2.4,89.86,2.25,5.05,1.7686,3.1694,99.04,9.22,66.57,4.5751,London
2/26/2020,3.19,7,0.39,87.01,0.62,4.87,2.0611,3.3298,99.37,8.22,70.64,4.6526,London
2/27/2020,2.74,6.44,-0.28,89.45,6.53,3.79,2.3861,3.3115,99.42,9.13,63.82,4.7306,London
2/28/2020,5.23,10.24,-1.27,95.23,7.91,5.45,0.6545,2.9798,99.57,15.21,98.55,4.8094,London
2/29/2020,6.73,9.57,3.84,84.23,5.44,8.15,2.3573,3.4994,97.69,12.42,68.34,4.8888,London
3/1/2020,4.96,8,2.93,85.54,1.44,5.69,3.0953,3.6324,97.98,9.07,43.42,4.9685,London
3/2/2020,4.88,8.44,1,87.84,3.59,3.57,2.7862,3.6276,98.02,9.89,52.54,5.0491,London
3/3/2020,3.78,7.96,0.82,90.21,0.4,3.67,2.2013,3.6122,99.3,9.07,48.77,5.1298,London
3/4/2020,3.61,6.94,-0.23,94.35,3.92,2.39,1.5857,3.5386,99.79,11.82,87.91,5.2111,London
3/5/2020,4.6,5.74,3.49,95.76,14.97,5.19,0.6341,3.4104,98.49,14.39,97.94,5.293,London
